142	30:02
101	30:21
102	30:30
139	30:42
117	31:17
121	31:35
144	31:42
158	33:59
104	34:40
152	34:52
122	35:09
159	35:45
133	35:54
151	36:03
138	36:52
130	37:36
153	38:38
129	39:14
135	39:55
149	40:04
119	40:16
145	40:52
118	41:32
132	41:58
136	42:03
108	42:35
137	43:10
125	43:12
150	43:17
111	43:21
147	43:29
134	44:02
110	44:36
148	44:45
131	45:25
106	45:51
141	45:53
155	46:00
124	46:10
146	46:29
154	46:58
114	47:59
157	48:30
115	49:35
156	49:36
123	49:46
128	50:36
109	51:07
140	58:16
112	59:52
113	67:45
