35	7:04
18	7:17
76	7:26
68	7:27
64	7:27
59	7:51
82	7:51
69	8:04
32	8:13
5	8:19
10	8:20
9	8:20
65	8:21
52	8:21
90	8:22
45	8:22
1	8:26
54	8:32
15	8:34
62	8:36
20	8:49
67	8:51
80	8:53
8	8:55
66	8:56
84	9:02
6	9:09
78	9:13
46	9:16
24	9:34
11	9:39
12	9:41
47	10:06
7	10:36
16	10:39
73	12:29
71	13:06
53	13:56
79	13:57
58	15:18
3	15:41
63	16:17
39	16:37
14	16:40
44	17:19
37	17:29
22	17:33
83	17:34
50	18:03
51	18:35
87	18:44
30	18:57
77	19:03
48	19:08
29	19:10
19	19:17
75	19:17
31	20:19
49	20:41
36	20:42
21	20:47
33	21:07
61	21:08
38	21:16
70	21:18
2	21:23
74	21:45
23	22:11
57	22:12
4	23:53
34	23:57
88	25:25
81	25:59
56	26:52
85	28:24
